,date,close,diff,open,high,low,volume
342,2020-09-25,627000,16000,621000,630000,604000,493489
343,2020-09-24,611000,19000,619000,643000,610000,872924
344,2020-09-23,630000,9000,660000,662000,604000,1271568
345,2020-09-22,639000,12000,646000,659000,633000,1209481
346,2020-09-21,627000,39000,656000,657000,626000,1239438
347,2020-09-18,666000,21000,653000,677000,650000,1775061
348,2020-09-17,645000,42000,671000,687000,625000,3408145
349,2020-09-16,687000,39000,730000,732000,685000,958233
350,2020-09-15,726000,14000,722000,728000,710000,435166
351,2020-09-14,712000,7000,707000,715000,696000,327850
352,2020-09-11,705000,8000,707000,709000,695000,361882
353,2020-09-10,713000,14000,716000,716000,699000,541097
354,2020-09-09,699000,10000,682000,704000,682000,575376
355,2020-09-08,709000,11000,720000,727000,697000,811834
356,2020-09-07,720000,23000,743000,743000,718000,635302
357,2020-09-04,743000,25000,734000,751000,734000,773517
358,2020-09-03,768000,26000,756000,774000,756000,690256
359,2020-09-02,742000,1000,743000,747000,728000,462821
360,2020-09-01,743000,3000,741000,753000,723000,645681
361,2020-08-31,740000,19000,763000,775000,731000,835300
362,2020-08-28,759000,3000,767000,776000,751000,496857
363,2020-08-27,762000,5000,774000,785000,759000,1060767
364,2020-08-26,757000,44000,718000,768000,716000,1094918
365,2020-08-25,713000,11000,712000,714000,703000,450237
366,2020-08-24,702000,3000,695000,708000,687000,574924
367,2020-08-21,699000,32000,676000,709000,676000,1078744
368,2020-08-20,667000,16000,681000,697000,662000,841507
369,2020-08-19,683000,7000,708000,710000,677000,746732
370,2020-08-18,690000,10000,689000,722000,673000,1051815
371,2020-08-14,700000,37000,716000,724000,695000,1160403
372,2020-08-13,737000,4000,758000,776000,722000,970866
373,2020-08-12,741000,17000,746000,764000,740000,673527
374,2020-08-11,758000,38000,715000,771000,708000,1087515
375,2020-08-10,720000,26000,747000,748000,716000,1035305
376,2020-08-07,746000,66000,680000,758000,680000,1399982
377,2020-08-06,680000,10000,672000,688000,659000,634951
378,2020-08-05,670000,28000,640000,681000,637000,917661
379,2020-08-04,642000,7000,652000,665000,635000,894736
380,2020-08-03,635000,67000,578000,650000,577000,1715295
381,2020-07-31,568000,38000,541000,580000,532000,1376453
382,2020-07-30,530000,3000,530000,533000,523000,244581
383,2020-07-29,527000,1000,527000,538000,523000,315710
384,2020-07-28,528000,11000,526000,532000,521000,372041
385,2020-07-27,517000,1000,509000,520000,509000,257568
386,2020-07-24,516000,16000,521000,526000,513000,406633
387,2020-07-23,532000,5000,535000,535000,522000,270382
388,2020-07-22,527000,4000,524000,529000,516000,332150
389,2020-07-21,531000,20000,525000,537000,522000,489307
390,2020-07-20,511000,5000,518000,519000,506000,318383
391,2020-07-17,516000,7000,516000,522000,505000,540426
392,2020-07-16,523000,21000,547000,547000,520000,504937
393,2020-07-15,544000,10000,539000,546000,536000,341645
394,2020-07-14,534000,13000,535000,545000,531000,441154
395,2020-07-13,547000,18000,540000,548000,531000,368579
396,2020-07-10,529000,10000,544000,548000,527000,470969
397,2020-07-09,539000,26000,515000,549000,512000,819218
398,2020-07-08,513000,3000,518000,521000,509000,358194
399,2020-07-07,516000,7000,525000,531000,515000,630054
400,2020-07-06,509000,2000,507000,511000,498500,317805
401,2020-07-03,507000,11000,509000,515000,502000,443404
402,2020-07-02,496000,4500,495000,496500,487500,362498
403,2020-07-01,491500,1000,499000,503000,491000,357203
404,2020-06-30,490500,1000,501000,502000,487500,443059
405,2020-06-29,489500,11500,492000,501000,486000,454763
406,2020-06-26,501000,2000,508000,509000,488500,473636
407,2020-06-25,499000,17000,506000,513000,499000,551096
408,2020-06-24,516000,12000,514000,520000,510000,391402
409,2020-06-23,504000,2000,512000,518000,500000,516968
410,2020-06-22,506000,6000,510000,519000,502000,509229
411,2020-06-19,512000,21000,499500,512000,488000,738862
412,2020-06-18,491000,500,491500,494500,481500,509457
413,2020-06-17,491500,4000,484000,512000,481500,1390544
414,2020-06-16,487500,59500,445000,487500,444000,1156149
415,2020-06-15,428000,34000,455000,460500,428000,851192
416,2020-06-12,462000,1000,436500,466000,436000,1007453
417,2020-06-11,463000,23000,447000,469500,446000,1250374
418,2020-06-10,440000,7500,432500,442000,429500,535589
419,2020-06-09,432500,1500,439000,441500,425500,609988
420,2020-06-08,434000,0,440000,446000,432000,684281
421,2020-06-05,434000,16500,421500,434000,421000,865564
422,2020-06-04,417500,17000,400500,420000,399500,966577
423,2020-06-03,400500,5500,399000,401500,395000,474692
424,2020-06-02,395000,1000,400000,402000,393000,390982
425,2020-06-01,396000,5500,391000,401000,389500,401656
426,2020-05-29,390500,2000,381500,391000,381500,526505
427,2020-05-28,388500,7000,403000,404000,380000,842769
428,2020-05-27,395500,18500,406000,412000,394500,622426
429,2020-05-26,414000,24500,398500,416000,398000,958956
430,2020-05-25,389500,12500,380000,389500,375000,505854
431,2020-05-22,377000,500,382000,385000,373500,504011
432,2020-05-21,377500,15000,367000,385000,365000,1033430
433,2020-05-20,362500,5500,352500,362500,351500,358098
434,2020-05-19,357000,3000,363500,364000,356500,395494
435,2020-05-18,354000,7500,349500,356000,346000,408948
436,2020-05-15,346500,2000,348500,349500,343000,364374
437,2020-05-14,344500,7500,348000,351000,341000,399418
438,2020-05-13,352000,14000,330000,352500,330000,861294
439,2020-05-12,338000,8500,346000,346000,336500,554982
440,2020-05-11,346500,6000,351500,354000,345000,629395
441,2020-05-08,352500,1500,349000,356500,346500,678484
442,2020-05-07,354000,7000,358000,361000,352500,431374
443,2020-05-06,361000,1000,366500,366500,356500,344167
444,2020-05-04,360000,16500,361000,366000,358000,669179
445,2020-04-29,376500,14000,368000,376500,365000,566265
446,2020-04-28,362500,9000,365000,371500,354000,582497
447,2020-04-27,353500,0,353500,357000,348000,445576
448,2020-04-24,353500,7500,358000,358500,350000,270535
449,2020-04-23,361000,6000,360000,361500,356500,343123
450,2020-04-22,355000,1000,346500,357000,345500,362008
451,2020-04-21,354000,2500,348000,359500,343500,710608
452,2020-04-20,351500,11000,362500,369500,351000,504864
453,2020-04-17,362500,19500,352500,376000,352000,753764
454,2020-04-16,343000,16500,327500,345000,327000,621763
455,2020-04-14,326500,11500,327500,329000,321000,436161
456,2020-04-13,315000,9000,325500,325500,314000,298575
457,2020-04-10,324000,500,324500,326000,318500,313697
458,2020-04-09,324500,11500,319000,324500,317000,470177
459,2020-04-08,313000,4000,308500,319500,306500,616801
460,2020-04-07,309000,12500,307000,309500,301000,717617
461,2020-04-06,296500,6000,295000,297000,290500,494846
462,2020-04-03,290500,500,300000,304500,285500,540101
463,2020-04-02,291000,1000,292000,294500,280000,688886
464,2020-04-01,292000,13000,305000,307000,292000,599459
